Zipcode,State,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
2476,MA,Middlesex County,Arlington,5/31/2022,5.3
2478,MA,Middlesex County,Belmont,5/31/2022,5.3
2481,MA,Norfolk County,Wellesley,5/31/2022,5.9
2482,MA,Norfolk County,Wellesley,5/31/2022,5.5
2492,MA,Norfolk County,Needham,5/31/2022,6.2
2493,MA,Middlesex County,Weston,5/31/2022,5.8
2494,MA,Norfolk County,Needham,5/31/2022,7.1
2532,MA,Barnstable County,Bourne,5/31/2022,5
2534,MA,Barnstable County,Bourne,5/31/2022,4.8
2535,MA,Dukes County,Chilmark,5/31/2022,5
2536,MA,Barnstable County,East Falmouth,5/31/2022,7.2
2537,MA,Barnstable County,East Sandwich,5/31/2022,6.9
2538,MA,Plymouth County,White Island Shores,5/31/2022,5.8
2539,MA,Dukes County,Edgartown,5/31/2022,5.7
2540,MA,Barnstable County,Falmouth,5/31/2022,7
2543,MA,Barnstable County,Woods Hole,5/31/2022,6.7
2553,TX,Liberty County,Cleveland,5/31/2022,8.9
2554,MA,Nantucket County,Nantucket,5/31/2022,5.3
2556,MA,Barnstable County,North Falmouth,5/31/2022,7.4
2557,MA,Dukes County,Oak Bluffs,5/31/2022,5.6
2558,MA,Plymouth County,Wareham,5/31/2022,6.7
2559,MA,Barnstable County,Bourne,5/31/2022,5.7
2561,MA,Barnstable County,Bourne,5/31/2022,11.1
2562,MA,Barnstable County,Bourne,5/31/2022,6.3
2563,MA,Barnstable County,Sandwich,5/31/2022,6.9
2564,MA,Nantucket County,Nantucket,5/31/2022,4
2568,MA,Dukes County,Tisbury,5/31/2022,5.6
2571,MA,Plymouth County,Wareham,5/31/2022,6.2
2575,MA,Dukes County,West Tisbury,5/31/2022,5.3
2576,MA,Plymouth County,Wareham,5/31/2022,5.8
2601,MA,Barnstable County,Barnstable,5/31/2022,6.4
2630,MA,Barnstable County,Barnstable,5/31/2022,6.7
2631,MA,Barnstable County,Brewster,5/31/2022,6.8
2632,MA,Barnstable County,Barnstable,5/31/2022,7
2633,MA,Barnstable County,Chatham,5/31/2022,7.2
2635,MA,Barnstable County,Barnstable,5/31/2022,7.1
2637,MA,Barnstable County,Barnstable,5/31/2022,4.1
2638,MA,Barnstable County,Dennis,5/31/2022,7.4
2639,MA,Barnstable County,Dennis,5/31/2022,7.4
2641,MA,Barnstable County,Dennis,5/31/2022,9.6
2642,MA,Barnstable County,Eastham,5/31/2022,7.3
2643,SC,Charleston County,Isle of Palms,5/31/2022,6.2
2644,MA,Barnstable County,Forestdale,5/31/2022,6.6
2645,MA,Barnstable County,Harwich,5/31/2022,7.3
2646,MA,Barnstable County,Harwich Port,5/31/2022,6.2
2647,MA,Barnstable County,Barnstable,5/31/2022,6.1
